name,enrollment,rank,tuitionFee,link,image_urls,images,location
St. Michael's College,1998,99,"$39,375 (2014-15)",/best-colleges/st-michaels-college-3694,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20290._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20290._130x0.jpg', 'path': 'full/8aac094bb629cb551ba0d67c5c948e3325e82f28.jpg', 'checksum': '1a70c6573fc8819c8de5affb1ab8b666'}]","Colchester, VT"
Augustana College,2524,105,"$37,236 (2014-15)",/best-colleges/augustana-college-1633,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Rock Island, IL"
Cornell College,1125,105,"$37,500 (2014-15)",/best-colleges/cornell-college-1856,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1497._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1497._130x0.jpg', 'path': 'full/7c26e42e5a1bf45fece1f1d507c9b1ff1de90df9.jpg', 'checksum': 'c580d658f8831f1feb56b944428398e0'}]","Mount Vernon, IA"
Goucher College,1449,105,"$40,558 (2014-15)",/best-colleges/goucher-college-2073,http://colleges.usnews.rankingsandreviews.com/img/college-photo_17766._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_17766._130x0.jpg', 'path': 'full/f1c2f585528d1b63ff95acc11a0c80688ad5f0c7.jpg', 'checksum': 'd893e5500a05934a504104896ed1e9a1'}]","Baltimore, MD"
Hampden-Sydney College,1070,105,"$39,272 (2014-15)",/best-colleges/hampden-sydney-3713,http://colleges.usnews.rankingsandreviews.com/img/college-photo_13098._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_13098._130x0.jpg', 'path': 'full/123bd35eed4d7073812b98fde60b98d3cf8f7955.jpg', 'checksum': '055e93290eb5be8dc706111b1ba03890'}]","Hampden-Sydney, VA"
Juniata College,1625,105,"$38,630 (2014-15)",/best-colleges/juniata-college-3279,http://colleges.usnews.rankingsandreviews.com/img/college-photo_550._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_550._130x0.jpg', 'path': 'full/51d549d5c1b9eee52185b9e9c66298278a1f3936.jpg', 'checksum': '52cf3a03f9a83bef2e9991258d4f1512'}]","Huntingdon, PA"
Stonehill College,2481,105,"$37,426 (2014-15)",/best-colleges/stonehill-college-2217,http://colleges.usnews.rankingsandreviews.com/img/college-photo_24086._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_24086._130x0.jpg', 'path': 'full/78f5e034990ed3da60d1e909a14d0921137ed567.jpg', 'checksum': 'b46fe459a99e6b13cd047e30634d2459'}]","Easton, MA"
Washington College,1483,105,"$42,592 (2014-15)",/best-colleges/washington-college-maryland-2108,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22399._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22399._130x0.jpg', 'path': 'full/4715df379b0a24e8caed20b765251957c715f608.jpg', 'checksum': 'ba1f44af447d9f740a2176a9e4485579'}]","Chestertown, MD"
Hollins University,580,112,"$34,295 (2014-15)",/best-colleges/hollins-university-3715,http://colleges.usnews.rankingsandreviews.com/img/college-photo_2079._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_2079._130x0.jpg', 'path': 'full/115fa208b8499c845b318a7f72929bd3602edc9f.jpg', 'checksum': '18c2f5d2cfa55523d488fb5351495b4e'}]","Roanoke, VA"
Hanover College,1163,113,"$33,023 (2014-15)",/best-colleges/hanover-college-1801,http://static.usnews.com/images/ah/education-school-image-default.png,"[{'url': 'http://static.usnews.com/images/ah/education-school-image-default.png', 'path': 'full/f14ee9e2f3817eeb49751889efbfb0b5643db72a.jpg', 'checksum': '683ccc0597a38a839942d8275b105350'}]","Hanover, IN"
