name,enrollment,rank,tuitionFee,link,image_urls,images,location
University of Connecticut,18032,58,"In-state: $12,700 (2014-15) Out-state: $32,880 (2014-15)",/best-colleges/uconn-29013,http://colleges.usnews.rankingsandreviews.com/img/college-photo_18368._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_18368._130x0.JPG', 'path': 'full/458054cb84feb9b2a4f06f0634918c02abd4823d.jpg', 'checksum': 'fff2e1492bdbad6892ed8cf24ef8a2df'}]","Storrs, CT"
Brigham Young University--Provo,27765,62,"$5,000 (2014-15)",/best-colleges/byu-3670,http://colleges.usnews.rankingsandreviews.com/img/college-photo_88._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_88._130x0.jpg', 'path': 'full/8cfd21e57861bfe7f2fe4d77748ee160006ea43e.jpg', 'checksum': '29e4800450e2624ed348412a2dc2dd78'}]","Provo, UT"
Clemson University,16931,62,"In-state: $13,382 (2013-14) Out-state: $30,816 (2013-14)",/best-colleges/clemson-university-3425,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23072._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23072._130x0.jpg', 'path': 'full/b1fb074b94083c6f4ac5d23b1c1acc940c5e0d18.jpg', 'checksum': 'c31d50658ad8198d8312223c0504c6fa'}]","Clemson, SC"
Purdue University--West Lafayette,29440,62,"In-state: $10,002 (2014-15) Out-state: $28,804 (2014-15)",/best-colleges/purdue-1825,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3097._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3097._130x0.jpg', 'path': 'full/75ea39f5a6b36faffe4bec22e31723dd49836832.jpg', 'checksum': 'edc3d54507fc47fce288ff6542cea8ab'}]","West Lafayette, IN"
University of Georgia,26278,62,"In-state: $10,836 (2014-15) Out-state: $29,046 (2014-15)",/best-colleges/university-of-georgia-1598,http://colleges.usnews.rankingsandreviews.com/img/college-photo_143._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_143._130x0.jpg', 'path': 'full/8d69803f838790b7fb313eda64683e815a63ec9a.jpg', 'checksum': '6ed2a16aa5870d2c7693194e862ed4f1'}]","Athens, GA"
University of Maryland--College Park,26658,62,"In-state: $9,427 (2014-15) Out-state: $29,720 (2014-15)",/best-colleges/university-of-maryland-2103,http://colleges.usnews.rankingsandreviews.com/img/college-photo_23577._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_23577._130x0.jpg', 'path': 'full/13054da4d9de25b25a778fc2bcc655a945858169.jpg', 'checksum': '23722d0594bab9f2753b9ca4be976665'}]","College Park, MD"
University of Pittsburgh,18615,62,"In-state: $17,772 (2014-15) Out-state: $28,168 (2014-15)",/best-colleges/university-of-pittsburgh-3379,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6114._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6114._130x0.jpg', 'path': 'full/cc9c83ca6353aa03ab2d507afd6876317e61cc3c.jpg', 'checksum': 'e5d1f7c4312098d5287771ba12491279'}]","Pittsburgh, PA"
Texas A&M University--College Station,44315,68,"In-state: $9,180 (2014-15) Out-state: $26,356 (2014-15)",/best-colleges/texas-am-college-station-10366,http://colleges.usnews.rankingsandreviews.com/img/college-photo_22984._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_22984._130x0.jpg', 'path': 'full/c1231f49a23ac2c29a9fa6020607b199489cdf2b.jpg', 'checksum': '4fdb762538aa128844600cfa581a94f2'}]","College Station, TX"
Worcester Polytechnic Institute,4134,68,"$42,778 (2013-14)",/best-colleges/wpi-2233,http://colleges.usnews.rankingsandreviews.com/img/college-photo_19871._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_19871._130x0.jpg', 'path': 'full/d6c1bd581bda0c4d502cd3ad959a68811dd5c47e.jpg', 'checksum': '8b887f5faa53a91b376ab4d6061ccbdb'}]","Worcester, MA"
"Rutgers, The State University of New Jersey--New Brunswick",33900,70,"In-state: $13,813 (2014-15) Out-state: $28,591 (2014-15)",/best-colleges/rutgers-6964,http://colleges.usnews.rankingsandreviews.com/img/college-photo_10352._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_10352._130x0.JPG', 'path': 'full/8060cc58c7036ce372b5be9b6c6db3016b2fcb97.jpg', 'checksum': 'd26fb7cd6098b8b9e1c6181befda2d5b'}]","Piscataway, NJ"
American University,7341,71,"$41,833 (2014-15)",/best-colleges/american-university-1434,http://colleges.usnews.rankingsandreviews.com/img/college-photo_290._130x0.JPG,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_290._130x0.JPG', 'path': 'full/0bb834068526117efdb06a60beffb1a5d4240f1b.jpg', 'checksum': '1d1ea5bf67d8e6e1fae9757075a4e722'}]","Washington, DC"
Baylor University,13292,71,"$38,290 (2014-15)",/best-colleges/baylor-university-6967,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1679._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1679._130x0.jpg', 'path': 'full/29d9bcbf13b6544e26db8a72e309e6789ca90727.jpg', 'checksum': '97885827fb87d2df39c2f465fda51d11'}]","Waco, TX"
University of Iowa,21974,71,"In-state: $8,079 (2014-15) Out-state: $27,409 (2014-15)",/best-colleges/university-of-iowa-1892,http://colleges.usnews.rankingsandreviews.com/img/college-photo_6299._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_6299._130x0.jpg', 'path': 'full/97c500f99172833f6d37d770fcbcce55e39ea6c1.jpg', 'checksum': '84eb2321ce0447622c83f9131124654b'}]","Iowa City, IA"
University of Minnesota--Twin Cities,34449,71,"In-state: $13,626 (2014-15) Out-state: $20,876 (2014-15)",/best-colleges/university-of-minnesota-3969,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7408._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7408._130x0.jpg', 'path': 'full/ece7662cb70ecbe4e7177d2008bc94016a389be3.jpg', 'checksum': 'c14e4261e4fce6d3b39e35e77d70d2f4'}]","Minneapolis, MN"
Virginia Tech,24034,71,"In-state: $12,017 (2014-15) Out-state: $27,444 (2014-15)",/best-colleges/virginia-tech-3754,http://colleges.usnews.rankingsandreviews.com/img/college-photo_14437._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_14437._130x0.jpg', 'path': 'full/bfa96532467ef5470408d7fc8f33e05cd9d58a21.jpg', 'checksum': 'cbed5a3f6753cddf557f68fe6a75dbda'}]","Blacksburg, VA"
Clark University,2380,76,"$40,730 (2014-15)",/best-colleges/clark-university-massachusetts-2139,http://colleges.usnews.rankingsandreviews.com/img/college-photo_20158._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_20158._130x0.jpg', 'path': 'full/77339e2749fefb687f265c91bf542f3ab2ef8ff4.jpg', 'checksum': 'f1b412874ebc41589429063388cfc5a0'}]","Worcester, MA"
Indiana University--Bloomington,36862,76,"In-state: $10,388 (2014-15) Out-state: $33,241 (2014-15)",/best-colleges/indiana-university-1809,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3065._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3065._130x0.jpg', 'path': 'full/c89920a6b345c9b4822ee3b5964221298b1857b0.jpg', 'checksum': '1fe9e5bdbd6f0342994b87dfb5a2b192'}]","Bloomington, IN"
Marquette University,8365,76,"$35,930 (2014-15)",/best-colleges/marquette-university-3863,http://colleges.usnews.rankingsandreviews.com/img/college-photo_7948._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_7948._130x0.jpg', 'path': 'full/24d84455a0c5f43f3ef01c40cde2bf9fc919c386.jpg', 'checksum': 'ae9d970e16f4d0af65dffdf4dc82786e'}]","Milwaukee, WI"
Miami University--Oxford,15462,76,"In-state: $14,287 (2014-15) Out-state: $30,394 (2014-15)",/best-colleges/miami-university-7104,http://colleges.usnews.rankingsandreviews.com/img/college-photo_1626._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_1626._130x0.jpg', 'path': 'full/9bde946aeaff3eac74b68d4691f4152f3586e7f5.jpg', 'checksum': '4b35290b6d10e2d381b313b9f0c8078a'}]","Oxford, OH"
Stevens Institute of Technology,2691,76,"$44,490 (2013-14)",/best-colleges/stevens-institute-of-technology-2639,http://colleges.usnews.rankingsandreviews.com/img/college-photo_19612._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_19612._130x0.jpg', 'path': 'full/ce8d07896ad6a2b18c273a26009ed4050fc72c04.jpg', 'checksum': '3fec899cad91a29856053fe7149653a8'}]","Hoboken, NJ"
SUNY College of Environmental Science and Forestry,1798,76,"In-state: $7,303 (2014-15) Out-state: $16,953 (2014-15)",/best-colleges/suny-environmental-science-and-forestry-2851,http://colleges.usnews.rankingsandreviews.com/img/college-photo_9490._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_9490._130x0.jpg', 'path': 'full/09db1176e2cb81208802a564f618d0dd2bd83d29.jpg', 'checksum': 'bd8e8437b836233cc4e68c2ebd6d1442'}]","Syracuse, NY"
Texas Christian University,8640,76,"$38,600 (2014-15)",/best-colleges/tcu-3636,http://colleges.usnews.rankingsandreviews.com/img/college-photo_3218._130x0.jpg,"[{'url': 'http://colleges.usnews.rankingsandreviews.com/img/college-photo_3218._130x0.jpg', 'path': 'full/fafe24b4953a7dd7255e48fa9bb8a9715c7e10c7.jpg', 'checksum': 'cc591d25bab4d4a8b1f041da2457b3af'}]","Fort Worth, TX"
